[2024-01-27 13:18:11] ---->itr: 174::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:11] ---->itr: 175::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:11] ---->itr: 176::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:11] ---->itr: 177::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:11] ---->itr: 178::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 179::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 180::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 181::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 182::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 183::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 184::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 185::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 186::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:12] ---->itr: 187::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 188::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 189::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 190::::: found: 0::::::::1.000000 - 2.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 191::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 192::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 193::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 194::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 195::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 196::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 197::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 198::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:13] ---->itr: 199::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 200::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 201::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 202::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 203::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 204::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 205::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 206::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 207::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 208::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 209::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:14] ---->itr: 210::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 211::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 212::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 213::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 214::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 215::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 216::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 217::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:15] ---->itr: 218::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:16] ---->itr: 219::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:16] ---->itr: 220::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:16] ---->itr: 221::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:16] ---->itr: 222::::: found: 0::::::::1.000000 - 1.000000 - 2.000000 - 2.000000 - 
[2024-01-27 13:18:16] ---->itr: 223::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 13:18:16] ---->itr: 224::::: found: 0::::::::1.000000 - 1.000000 - 1.000000 - 2.000000 - 
