[2024-01-27 15:31:05] ---->itr: 221::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:05] ---->itr: 222::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:05] ---->itr: 223::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 224::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 225::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 226::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 227::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 228::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 229::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 230::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 231::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:06] ---->itr: 232::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 233::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 234::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 235::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 236::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 237::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 238::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 239::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:07] ---->itr: 240::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 241::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 242::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 243::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 244::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 245::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 246::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 247::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 248::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:08] ---->itr: 249::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:09] ---->itr: 250::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:09] ---->itr: 251::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:09] ---->itr: 252::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
[2024-01-27 15:31:09] ---->itr: 253::::: found: 1::::::::1.000000 - 1.000000 - 2.000000 - 
